fasta,name,organism,source,genome_assembly,accession,group,assembly_report
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.2.rna.fna.gz,NCBI RefSeq human transcript (part 2),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.3.rna.fna.gz,NCBI RefSeq human transcript (part 3),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.4.rna.fna.gz,NCBI RefSeq human transcript (part 4),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.5.rna.fna.gz,NCBI RefSeq human transcript (part 5),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.6.rna.fna.gz,NCBI RefSeq human transcript (part 6),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.7.rna.fna.gz,NCBI RefSeq human transcript (part 7),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.8.rna.fna.gz,NCBI RefSeq human transcript (part 8),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.9.rna.fna.gz,NCBI RefSeq human transcript (part 9),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.10.rna.fna.gz,NCBI RefSeq human transcript (part 10),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.11.rna.fna.gz,NCBI RefSeq human transcript (part 11),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.12.rna.fna.gz,NCBI RefSeq human transcript (part 12),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.13.rna.fna.gz,NCBI RefSeq human transcript (part 13),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.14.rna.fna.gz,NCBI RefSeq human transcript (part 14),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.15.rna.fna.gz,NCBI RefSeq human transcript (part 15),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.16.rna.fna.gz,NCBI RefSeq human transcript (part 16),Homo sapiens,NCBI RefSeq,,,,
https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz,Ensembl r113 cdna,Homo sapiens,Ensembl,GRCh38,,transcript,
https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/ncrna/Homo_sapiens.GRCh38.ncrna.fa.gz,Ensembl r113 ncrna,Homo sapiens,Ensembl,GRCh38,,transcript,
https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/pep/Homo_sapiens.GRCh38.pep.all.fa.gz,Ensembl r113 protein,Homo sapiens,Ensembl,GRCh38,,protein,
